source_url,source_title,publisher,source_type,date_published_or_year,access_date,reliability_assessment,marketing_source_yes_no,possible_bias,notes
https://kvickly.coop.dk/,Kvickly front page,Kvickly / Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://superbrugsen.coop.dk/om-superbrugsen/,Om SuperBrugsen,SuperBrugsen / Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://brugsen.coop.dk/om-brugsen/daglibrugsen-bliver-til-brugsen/,Dagli'Brugsen bliver til Brugsen,Brugsen / Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://brugsen.coop.dk/aktuelt/lavpris/,Lav Pris i Brugsen,Brugsen / Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://365discount.coop.dk/om-365discount/job/karriere/,Karriere i 365discount,365discount / Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://coop.dk/mad,Coop.dk MAD lukkede i 2023,Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://kundeservice.shopping.coop.dk/hc/da/articles/21459967795602-Hvorfor-og-hvorn%C3%A5r-er-Coop-dk-lukket,Hvorfor og hvornår er Coop.dk lukket?,Coop Danmark Kundeservice,official company source,2025,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/,Coop forbedrer driftsindtjeningen med 350 millioner kr.,Coop Danmark,annual report / financial source,2026,2026-05-04,high for reported financial/store/member figures,no,low: audited/official financial reporting,
https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coops-resultat-for-2024-stoerre-fremgang-end-forventet/,Coops resultat for 2024,Coop Danmark,annual report / financial source,2025,2026-05-04,high for reported financial/store/member figures,no,low: audited/official financial reporting,
https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-og-brugsforeningernes-driftsresultat-for-2023/,Coop og brugsforeningernes driftsresultat for 2023,Coop Danmark,annual report / financial source,2024,2026-05-04,high for reported financial/store/member figures,no,low: audited/official financial reporting,
https://www.lobyco.com/case-studies/coop,Helping 25% of Danish households shop smarter,Lobyco,vendor marketing source,2026,2026-05-04,medium for documented platform metrics; low-medium for promotional claims,yes,promotes vendor platform capabilities; numbers useful but interpretation should be treated cautiously,
https://www.lobyco.com/insights/making-multi-banner-loyalty-simple,Making Multi-Banner Loyalty Simple,Lobyco,vendor marketing source,2026,2026-05-04,medium for documented platform metrics; low-medium for promotional claims,yes,promotes vendor platform capabilities; numbers useful but interpretation should be treated cautiously,
https://www.lobyco.com/,Lobyco home page,Lobyco,vendor marketing source,2026,2026-05-04,medium for documented platform metrics; low-medium for promotional claims,yes,promotes vendor platform capabilities; numbers useful but interpretation should be treated cautiously,
https://playable.com/cases/coop/,How Coop fueled loyalty and retail media,Playable,vendor marketing source,2026,2026-05-04,medium for documented platform metrics; low-medium for promotional claims,yes,promotes vendor platform capabilities; numbers useful but interpretation should be treated cautiously,
https://www.shortcut.io/cases/coop-denmark-app,Digital transformation for the modern retail chain,Shortcut,vendor marketing source,2026,2026-05-04,medium for documented platform metrics; low-medium for promotional claims,yes,promotes vendor platform capabilities; numbers useful but interpretation should be treated cautiously,
https://www.cooptrading.com/who-we-are/,Who we are,Coop Trading,industry source,2026,2026-05-04,medium for sourcing model; may not disclose Coop Denmark-specific economics,no,industry/cooperative sourcing perspective; partly promotional,
https://www.cooptrading.com/our-corporate-responsibility/working-with-suppliers/,Working with suppliers,Coop Trading,industry source,2026,2026-05-04,medium for sourcing model; may not disclose Coop Denmark-specific economics,no,industry/cooperative sourcing perspective; partly promotional,
https://ni.dk/ni-news/id/35f0f2a6-7ddc-4fee-bf00-4e127bf759ec/Coops-hjemmelevering-lukker,Coops hjemmelevering lukker,Ritzau / ni.dk,independent news source,2023,2026-05-04,medium-high for event reporting; verify numbers against official reports where possible,no,journalistic summary; may simplify strategic context,
https://apps.apple.com/dk/app/coop-app/id537614968,Coop app in App Store,Apple App Store,app store source,2026,2026-05-04,medium for current app listing/functionality,no,platform listing; useful for feature/rating signals but not strategic interpretation,
https://play.google.com/store/apps/details?id=dk.coop.members,Coop app in Google Play,Google Play,app store source,2026,2026-05-04,medium for current app listing/functionality,no,platform listing; useful for feature/rating signals but not strategic interpretation,
