topic,subtopic,source_url,source_title,source_type,year,evidence_type,finding,metric_name,metric_value,business_model_component,customer_value_proposition_element,digital_business_model_lens,dvc_lens,strategic_positioning_lens,interpretation,confidence_level,marketing_source_yes_no,quote_or_short_evidence
Business model,Coop private label size,https://coop.dk/vores-maerker/coop/,Coop vareserie,official company source,2026,portfolio metric,"The Coop private-label series is described as Denmark's largest product series with more than 3,000 everyday products.",Coop private-label products,"more than 3,000",Key resources; Revenue streams,fair price; everyday quality,supplier,Relevance,scale private-label retailer,"This is a scale resource in procurement, margin and customer trust.",high,no,mere end 3.000 varer
Business model,Änglamark,https://coop.dk/vores-maerker/anglamark/,Änglamark,official company source,2026,portfolio metric,"Änglamark has more than 1,200 products and is positioned around organic, allergy-friendly and environmentally friendlier products.",Änglamark products,"more than 1,200",Key resources; Value propositions,responsibility; organic; trust,supplier,Relevance,responsible private-label brand,Änglamark carries Coop's responsibility proposition in a productized form.,high,no,over 1200 produkter
Business model,Supplier platform,https://www.cooptrading.com/who-we-are/,Who we are,industry source,2026,industry claim,"Coop Trading describes itself as the largest private-brand purchasing organization in the Nordics, sourcing and developing Xtra, Coop and Änglamark products for cooperative retailers.",,,Key partners; Key activities,price-quality ratio,supplier,Digital infrastructure,Nordic purchasing scale,The sourcing model points to scale advantages behind Coop's private labels.,high,no,largest private brand purchasing organization in the Nordics
Business model,Supplier relationships,https://www.cooptrading.com/our-corporate-responsibility/working-with-suppliers/,Working with suppliers,industry source,2026,industry metric,"Coop Trading reports 700+ suppliers and says about 10% are partner suppliers focused on category development, quality and operational excellence.",supplier base,700+ suppliers; approx. 10% partner suppliers,Key partners,quality; value,supplier,Digital competences,scale sourcing and category partnerships,"Supplier relationships are part of Coop's business model, especially for private labels and category development.",high,no,700+ suppliers ... Approximately 10 % ... partner suppliers
Customer value proposition,Member benefits,https://medlem.coop.dk/medlemsfordele,Medlemsfordele,official company source,2026,feature evidence,"Coop's member proposition includes bonus, personal offers, member offers, partner bonus and Samvirke.",,,Value propositions; Customer relationships,loyalty benefits; savings; content,customer knowledge,Relationships; Experiences,loyalty-led grocery retailer,"The value proposition is not a single attribute; it combines savings, membership and everyday services.",high,no,Optjen bonus ... Personlige tilbud ... Medlemspartnere
Customer value proposition,5% fruit and veg bonus,https://indmeld.coop.dk/,Bliv medlem af Coop,official company source,2026,loyalty metric,Coop states that members earn 5% bonus on fresh fruit and vegetables in all Coop stores when registering the purchase with the app or member card.,member bonus,5% on fresh fruit and vegetables,Customer relationships; Revenue streams,savings; fresh food,customer knowledge,Relationships,member-value retailer,The bonus links price value to healthier/fresh categories and reinforces registration/data capture.,high,no,5 % medlemsbonus på frisk frugt og grønt
Customer value proposition,Personalized offers,https://medlem.coop.dk/medlemsfordele/personlige-tilbud/,Personlige tilbud,official company source,2026,feature evidence,Coop states that weekly personal offers are based on the products the member buys most and must be activated before purchase.,personal offers per week,up to 20 offers,Customer relationships; Channels,personalized savings,customer knowledge,Relationships; Relevance,data-driven loyalty,Personalization converts transaction data into customer-facing price relevance.,high,no,"baseret på de varer, du køber mest af"
Customer value proposition,FordelsKonto,https://medlem.coop.dk/fordelskonto,Coop FordelsKonto,official company source,2026,feature metric,"Coop FordelsKonto is presented as a food account in the app where members transfer DKK 100-7,000 monthly and receive 5-15% bonus on selected brands when paying through the account.",FordelsKonto bonus and transfer range,"5-15%; DKK 100-7,000/month",Revenue streams; Customer relationships,bonus; budgeting; selected brands,customer knowledge,Relationships; Digital outputs,loyalty/payment integration,"FordelsKonto blends grocery budgeting, payment, brand selection and repeat purchase economics.",high,no,en slags madkonto i Coop appen
Digital model,App functions,https://medlem.coop.dk/coop-app/kom-godt-i-gang/,Coop app,official company source,2026,feature evidence,"Coop says the app gathers functions for SuperBrugsen, Kvickly, 365discount and Brugsen, including digital receipts, shopping list, recipes, newspapers, offers, Scan & Betal, games, climate footprint and local store content.",,,Channels; Customer relationships; Key resources,convenience; savings; inspiration; control,omnichannel; customer knowledge,Experiences; Relationships; Digital outputs,store-supporting loyalty app,The app is designed as a store companion and relationship layer rather than an online grocery channel.,high,no,Alle relevante funktioner ... samlet til dig i Coop appen
Digital model,Scan & Betal,https://medlem.coop.dk/coop-app/scan-og-betal,Scan & Betal med Coop appen,official company source,2026,feature evidence,"Scan & Betal lets customers scan items, pack while shopping and pay through the phone in Coop chains, using MobilePay, FordelsKonto, bonus or card.",,,Channels; Customer relationships,convenience; queue avoidance,omnichannel,Experiences; Digital outputs,digital enhancement of physical stores,The feature directly supports physical-store throughput and convenience.,high,no,scan dine varer og betaler med mobilen
Digital model,Receipts and shopping lists,https://medlem.coop.dk/coop-app/kom-godt-i-gang/,Coop app,official company source,2026,feature evidence,"The app offers digital receipts, a categorized/shareable shopping list, digital circulars and the ability to add offers to lists.",,,Channels; Customer relationships,planning; convenience,customer knowledge,Experiences; Digital outputs,store-supporting app,"These features create value before and after the transaction, not only at checkout.",high,no,indkøbslisten er opdelt efter kategorier
Digital model,Climate footprint,https://medlem.coop.dk/coop-app/klimaaftryk/,Klimaaftryk i Coop appen,official company source,2026,feature evidence,The app lets users track the development of their grocery climate footprint and organic share from week to week after consenting and registering purchases.,,,Customer relationships; Key resources,responsible shopping insight,customer knowledge,Experiences; Relevance,responsibility plus data-driven loyalty,This extends the app beyond price and convenience into values-based customer engagement.,high,no,se udviklingen i dit klimaaftryk fra uge til uge
Digital model,Gamification,https://medlem.coop.dk/spil-og-konkurrencer/,Spil og konkurrencer i Coop appen,official company source,2026,feature evidence,"Coop app games let users participate for free and win prizes such as products to collect in local Coop stores, discounts or bonus.",,,Customer relationships; Channels,engagement; rewards,customer knowledge,Experiences; Relationships,loyalty gamification,Gamification is used to increase app visits and connect digital engagement back to stores.,high,no,"varer, som du selv kan hente nede i din lokale Coop-butik"
Digital model,App user scale,https://www.lobyco.com/case-studies/coop,Helping 25% of Danish households shop smarter,vendor marketing source,2026,vendor metric,"Lobyco states that Coop app has more than 1.8m users, equivalent to 25% of Danish households, and that app users shop 50% more frequently than other customers.",app users / frequency uplift,1.8m users; 25% households; 50% higher frequency,Key resources; Customer relationships,digital ease; loyalty,customer knowledge; omnichannel,Relationships; Digital outputs,digital frontrunner claim,"Useful as documented vendor/client case metrics, but the source sells Lobyco's platform, so the causal interpretation should be treated cautiously.",medium,yes,more than 1.8 million users ... 50% higher frequency
Digital model,Monthly active users,https://www.lobyco.com/insights/making-multi-banner-loyalty-simple,Making Multi-Banner Loyalty Simple,vendor marketing source,2026,vendor metric,"Lobyco states that Coop runs Denmark's largest membership programme on Lobyco and that the Coop app has approximately 880,000 monthly active users across four banners.",monthly active users,"approx. 880,000",Key resources; Customer relationships,one app across banners,customer knowledge; omnichannel,Digital infrastructure; Relationships,multi-banner loyalty platform,This supports the app as a shared loyalty layer across a complex chain portfolio; it is vendor marketing evidence.,medium,yes,"approximately 880,000 monthly active users"
Digital model,Lobyco role,https://www.lobyco.com/,Lobyco home page,vendor marketing source,2026,vendor positioning,Lobyco presents itself as born from retail and building digital-first loyalty experiences for retailers.,,,Key resources; Key partners,platform-enabled loyalty,modular producer/platform provider,Digital infrastructure; Digital competences,retailer plus loyalty platform/OEM logic,Lobyco gives Coop a role beyond retailer when its loyalty technology is offered to other retailers.,medium,yes,Born from retail. Building the future of loyalty.
Chain portfolio,Kvickly,https://kvickly.coop.dk/,Kvickly front page,official company source,2026,chain evidence,"Kvickly foregrounds weekly offers, member discounts, nonfood categories such as bikes, 5% produce bonus, discount match and the Coop app.",,,Channels; Value propositions,large-store assortment; offers; member value,omnichannel,Experiences,large-format supermarket/hypermarket with loyalty and price signals,Kvickly appears to combine broad assortment/nonfood with price/member mechanics.,high,no,Discountmatch ... Hent appen og få flere fordele
Chain portfolio,SuperBrugsen,https://superbrugsen.coop.dk/om-superbrugsen/,Om SuperBrugsen,official company source,2026,chain evidence,"SuperBrugsen positions itself around taste, quality, everyday and special occasions, while also promising discount match and local goods.",,,Channels; Value propositions,quality; taste; local; value,omnichannel,Relevance,quality supermarket with local and price elements,SuperBrugsen carries a more quality/local position than pure discount.,high,no,En bid bedre. Hver dag
Chain portfolio,Brugsen,https://brugsen.coop.dk/om-brugsen/daglibrugsen-bliver-til-brugsen/,Dagli'Brugsen bliver til Brugsen,official company source,2026,chain evidence,"Brugsen presents itself as the local grocery store close to everyday life, with fair prices, support for local communities and local customer knowledge.",,,Channels; Customer relationships,locality; convenience; fair prices,customer knowledge,Relationships; Relevance,local community grocery store,Brugsen is Coop's strongest explicit community/locality format.,high,no,lever vi af og for at være tæt på dig og din hverdag
Chain portfolio,Brugsen low price,https://brugsen.coop.dk/aktuelt/lavpris/,Lav Pris i Brugsen,official company source,2026,chain evidence,"Brugsen says almost 300 selected products are part of its Lav Pris programme, chosen based on purchase data from store tills.",Lav Pris products,almost 300,Value propositions; Customer relationships,local everyday low price,customer knowledge,Relevance,local store with data-informed price programme,This shows a hybrid of local identity and price sensitivity.,high,no,udvalgt på baggrund af købsdata fra kasserne
Chain portfolio,365discount,https://365discount.coop.dk/om-365discount/job/karriere/,Karriere i 365discount,official company source,2026,chain evidence,"365discount is described as a low-price supermarket with discount prices, quality, organic everyday economy, Danish goods, no-unnecessary-chemistry products, easy meal solutions and fresh produce.",,,Channels; Value propositions,discount; quality; green/organic,business design,Relevance,discount with green/responsibility overlay,365discount adds a price-led position inside the cooperative portfolio.,high,no,discountpriser og høj kvalitet
Strategic positioning,Multi-banner complexity,https://www.lobyco.com/insights/making-multi-banner-loyalty-simple,Making Multi-Banner Loyalty Simple,vendor marketing source,2026,vendor interpretation,"Lobyco frames Coop's four banners as connected through one app, one loyalty setup and one shared bonus/reward structure.",,,Channels; Customer relationships; Key resources,one membership across chains,omnichannel; customer knowledge,Digital infrastructure; Relationships,multi-banner loyalty platform,"The shared app may reduce customer-facing complexity, but the claim is vendor marketing and does not prove economic simplicity.",medium,yes,Four distinct banners are connected through one app
Strategic positioning,Mixed model,local_pdf:coop-danmark-aarsrapport-2025.pdf,Coop Danmark A/S årsrapport 2025,annual report / financial source,2025,analysis from metrics,"Coop is simultaneously a large physical grocery retailer, a member organisation, a multi-chain portfolio and a loyalty/app platform owner.",,,Full canvas,"mixed: price, quality, membership, locality, responsibility, digital ease",omnichannel with modular producer element via Lobyco,Experiences; Relationships; Infrastructure; Relevance,mixed strategic position,"The evidence suggests no single pure position; Coop blends cooperative identity, store retail and digital loyalty.",high,no,"synthesis of reported stores, membership and app evidence"
Tension,Digital success vs store economics,https://www.lobyco.com/case-studies/coop,Helping 25% of Danish households shop smarter,vendor marketing source,2026,vendor metric plus analysis,Lobyco's app engagement metrics coexist with Coop's recent financial weakness and store/webshop rationalisation.,,,Customer relationships; Cost structure,digital ease vs price/store economics,customer knowledge vs business design,Relationships; Digital outputs,digital frontrunner vs retailer economics,"The central tension is not whether digital works for engagement, but whether it changes the economics of grocery retail enough.",medium,yes,1.8 million users ... 50% higher frequency
Tension,App success vs online grocery closure,https://coop.dk/mad,Coop.dk MAD lukkede i 2023,official company source,2026,operational contradiction,Coop can have a strong app while its online grocery delivery channel is closed; digital is mainly a store-supporting relationship layer.,,,Channels; Customer relationships,"convenience in store, not home delivery",omnichannel retreat,Digital outputs,digital store companion,This distinction prevents overclaiming Coop as an e-commerce grocery player.,high,no,ikke længere muligt at få leveret dagligvarer til døren
Tension,Member value vs price market,https://indmeld.coop.dk/,Bliv medlem af Coop,official company source,2026,analysis from loyalty claims,"The member promise emphasizes bonus, ownership and personal offers, while chain evidence shows strong price mechanisms such as discount match, Lav Pris and 365discount.",,,Value propositions; Customer relationships,membership plus price,customer knowledge,Relevance,loyalty/member retailer in price-sensitive market,"Coop's value proposition appears to compete on both values and price, which can create strategic complexity.",high,no,5 % bonus ... personlige tilbud ... Lav Pris / discount
