competitor,chain_or_brand,source_url,source_type,year,evidence_type,metric_name,metric_value,digital_solution,customer_value_proposition,observed_success_factor,comparison_to_coop,relevant_theory_lens,confidence_level,quote_or_short_evidence
Dagrofa,MENY,https://www.dagrofa.dk/artikel/meny-kaares-som-danmarks-staerkeste-dagligvarebrand/,official press release,2025,customer index,Loyalty Group BrancheIndex,"MENY strongest grocery brand; wins 5 of 8 areas; 4,694 respondents",Premium food market and service concept,Clear premium/food-experience position appears valued by customers,Coop's multiple mid-market chains may be less sharply positioned,Strategic positioning; Digital Value Creation: Experiences,medium,"Dagrofa reports MENY wins trust, image, product quality, organic and accessibility.",
Dagrofa,MENY,https://www.dagrofa.dk/kaeder/,official company page,2026,positioning evidence,MENY position,"Broad assortment, gourmet/take-away/basic goods and specialist staff",Food market with quality and service,Differentiated activities versus discount chains,Contrasts with Coop's brand architecture tension,Strategic positioning,high,Dagrofa describes MENY as Danmarks MADmarked with broad assortment and specialist staff.,
Dagrofa,SPAR,https://www.dagrofa.dk/kaeder/,official company page,2026,positioning evidence,SPAR position,Over 140 stores; local supermarket with discount on everyday items,Local convenience with value items,Local merchant identity differentiates from central chain logic,Coop's Brugsen has similar local heritage but financial weakness remains,Strategic positioning,high,Dagrofa describes SPAR as the local supermarket with over 140 stores.,
Dagrofa,MENY app,https://play.google.com/store/apps/details?id=dk.meny,app store page,2026,app metric,Google Play downloads,100K+,"Member prices, food inspiration, recipes, shopping lists, payment card link",Food inspiration plus member prices,"Digital supports premium food concept, not only checkout",Coop app has strong loyalty but not chain-specific food-experience focus,Digital Business Model: customer knowledge,medium,Google Play page shows 100K+ downloads and MENY app features.
Dagrofa,SPAR SAMMEN,https://apps.apple.com/dk/app/spar-sammen/id586234461,app store page,2026,app metric,App Store rating,4.6 / 5 from approx. 2.3K ratings,"Member prices, recipes, weekly leaflet and marketing personalization",Local loyalty and member pricing,High app rating suggests user acceptance for SPAR's simpler app scope,Coop has high reach but source criticism is needed on value claims,Digital Value Creation: Relationships,medium,App Store page shows SPAR SAMMEN at 4.6 from 2.3K ratings.
Nemlig.com,Nemlig,https://via.ritzau.dk/pressemeddelelse/14710924/nemlig-fortsaetter-vaeksten-og-halverer-underskud-i-nyt-regnskabsar?publisherId=13560508&lang=da,official press release,2024/2025,financial statistic,Revenue,2.82 bn DKK,Online supermarket app/webshop with delivery and meal boxes,Online-first convenience and assortment,Purpose-built online grocery model continued growth,Coop closed coop.dk in 2023 due to lack of profitability,Digital Business Model: controlled value chain; Implementation,medium-high,Nemlig reports 2.82bn DKK revenue and 3.3% growth.
Nemlig.com,Nemlig,https://via.ritzau.dk/pressemeddelelse/14710924/nemlig-fortsaetter-vaeksten-og-halverer-underskud-i-nyt-regnskabsar?publisherId=13560508&lang=da,official press release,2024/2025,financial statistic,Adjusted EBITDA,35.3 m DKK,Online delivery infrastructure,Convenience and wide assortment,"Improving economics, but not unambiguously profitable at bottom line",Shows online grocery can work only with logistics/economic discipline,Implementation,medium-high,Nemlig reports adjusted EBITDA of 35.3m DKK.
Nemlig.com,Nemlig,https://www.proff.dk/regnskab/nemlig.com-as/odense-s/n%C3%A6rings-og-nydelsesmidler/GXIFMDI116S,financial database,2025-07,financial statistic,Profit for year,-28.090 m DKK,Online grocery operations,"Convenience, delivery and specialty assortment",Bottom-line loss remains despite revenue growth,Coop should not be judged against Nemlig as if online grocery is automatically profitable,Source criticism; Implementation,medium,"Proff lists 2025 year's result of -28,090 thousand DKK."
Nemlig.com,Nemlig,https://via.ritzau.dk/pressemeddelelse/14710924/nemlig-fortsaetter-vaeksten-og-halverer-underskud-i-nyt-regnskabsar?publisherId=13560508&lang=da,official press release,2025,coverage statistic,Delivery coverage,More than 4 of 5 households,Home delivery and meal boxes,Scale of delivery coverage supports online-first value proposition,Coop no longer operates online grocery store,Digital Business Model,medium,Nemlig says more than 4 of 5 households can receive groceries and meal boxes.,
Nemlig.com,Nemlig app,https://play.google.com/store/apps/details?id=com.nemlig,app store page,2026,app metric,Google Play rating/downloads,4.6 / 5; 100K+ downloads,"Groceries, favorites, shopping lists, recipes and meal boxes",Mobile ordering experience,"App is core channel, not only loyalty layer","Coop app supports stores, while Nemlig app is the store",Digital Business Model; Digital Value Creation: Experiences,medium,Google Play page shows 4.6 rating and 100K+ downloads.
Nemlig.com,Nemlig,https://via.ritzau.dk/pressemeddelelse/14785234/nemlig-styrker-oko-andelen-trods-pres-i-markedet?lang=da&publisherId=13560508,official press release,2025,differentiation statistic,Organic share of sales,23.8% (up from 22.8% in 2024),Online assortment and pricing around organic products,Assortment differentiation beyond convenience,"Coop has heritage in values/membership, but Nemlig offers clear online assortment promise",Strategic positioning; Digital Value Creation: Evolution,medium,Nemlig says organic share increased to 23.8% in 2025.,
Market context,Danish e-commerce,https://www.danskindustri.dk/vi-radgiver-dig/ecommerce/di-e-commerce-analyser/analyser/2026/danskernes-arlige-e-commerce-tracker-2025/,market report,2025,market statistic,Online consumption,136 bn DKK; 81% shop online monthly; 49% mobile purchases,Supports mobile-first customer expectations,"Digital channels are normal customer behavior, but not proof of grocery profitability","Coop app should be assessed on fit with store economics, not digital adoption alone",Digital Value Creation: Evolution,medium-high,DI reports 136bn DKK online consumption and 49% mobile share of online purchases.,
Market context,Customer loyalty,https://loyaltygroup.dk/brancheanalyser/brancheindex/brancheindex-dagligvarer/,market/customer index,2025,customer index,BrancheIndex ranking,"MENY first; Rema down; Lidl third; Netto and 365discount weak; 4,694 respondents",Customer loyalty differs strongly by chain concept,Strong customer perception follows clear promise more than app breadth,Coop's 365discount weakness is direct contrast inside the discount segment,Strategic positioning; Source criticism,medium-high,Loyalty Group states MENY takes first place and 365discount is isolated at the bottom.,
Coop comparison baseline,Coop Denmark,LLM/CONTEXT.md,local exam context,2025/2026,case statistic,Coop app users,Approx. 1.8m users / 25% of Danish households,"Personal offers, Scan & Pay, games, retail media and loyalty",Digital relationship strength is real but must be compared with financial weakness,Competitors show digital must reinforce the core model and operations,Digital Value Creation; Source criticism,medium,Local context and Lobyco source describe 1.8m Coop app users and 25% household reach.,
Coop comparison baseline,Coop Denmark,LLM/CONTEXT.md,local exam context,2023/2025,case statistic,Coop financial/online context,2025 net loss 232m DKK; coop.dk closed in 2023,No current online grocery store; physical stores are core,Competitor evidence should not become recommendations,"Competitors' stronger fit is about price/store/logistics alignment, not generic digital maturity",Implementation; Strategic positioning,medium,Local context states coop.dk closed in 2023 and Coop lost 232m DKK in 2025.,
Coop benchmark,Coop Denmark,https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/,official press release,2025,financial statistic,Revenue,32.5 bn DKK,"Coop app; physical-store-only grocery after coop.dk closure",Physical stores and four chains under recovery plan,"Official benchmark: revenue lower than Salling but higher than REMA/Dagrofa/Nemlig in this evidence set",Used as direct baseline for competitor comparisons,Strategic positioning; Implementation,high,"Coop reports 2025 revenue of 32.5bn DKK versus 33.6bn DKK in 2024."
Coop benchmark,Coop Denmark,https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/,official press release,2025,financial statistic,EBITDA,313 m DKK,"Coop app; physical-store-only grocery after coop.dk closure",Improved operations and store investments,"EBITDA improved by 350m DKK from 2024 but remains much smaller than Salling EBITDA",Shows improvement but still not enough to remove EBIT loss,Implementation,high,"Coop reports 2025 EBITDA of 313m DKK, up 350m DKK from 2024."
Coop benchmark,Coop Denmark,https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/,official press release,2025,financial statistic,EBIT,-215 m DKK,"Coop app; physical-store-only grocery after coop.dk closure",Recovery plan and core-store focus,"Coop still reported an EBIT loss while Salling, REMA and Dagrofa reported positive profit/operating figures",Key contrast: digital reach coexists with operating losses,Implementation; Source criticism,high,"Coop reports an EBIT loss of 215m DKK in 2025."
Coop benchmark,Coop stores,https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/,official press release,2025,store statistic,Selected store counts,364 independent association stores; 220 SuperBrugsen stores,"Coop app and chain concepts",Local stores and supermarket chain,"Coop has major store footprint, so weakness cannot be explained by lack of physical reach alone",Competitors may have clearer chain economics/positioning,Strategic positioning; Implementation,high,"Coop says independent associations operate 364 stores and SuperBrugsen has 220 stores."
